item_id,name,class,weight,defense,required_level,slot,jobs,description,item_script,npc_page
5105,2nd Anniversary Hat,Upper Costume,0,1,1,0,All,"A birthday cake replicat that won't fit a Dancer inside, but it's almost just as much fun to wear it on top of your head. Almost.\nWhile wearing this, monsters have a chance of dropping Stolen Cacao when killed which can be turned into Pinkemenia in Moscovia for chocolates.\nMaxSP +60","{ bonus bDex,1; bonus bMaxSP,80; bonus3 bAddMonsterDropItem,7864,7,50; },{},{}",Headgears 1
5137,Alice Doll,Upper Headgear,50,0,30,1,All except Novice,Doll made according to the appearance of the popular Alice.\nIt looks like the doll is trying to cheer its wearer from the top of the head.\nStr + 1\nIncreases physical damage inflicted on Demihuman monsters by 10%.\nAdds a low chance of inflicting Sleep status on its wearer when attacking.\nUnrefineable,"{ bonus bStr,1; bonus2 bAddRace,RC_DemiHuman,10; bonus2 bAddRace,RC_Player_Human,10; bonus2 bAddEff2,Eff_Sleep,10; },{},{}",Headgears 1
5074,Angel Wing Ears,Middle Headgear,10,1,70,0,All,"An ear accessory that looks just like white, beautiful angel wings.\nStr +1","{ bonus bStr,1; },{},{}",Headgears 1
5132,Angeling Hat,Upper Headgear,70,2,38,0,All,"A hat, made especially to look like a certain monster that looks like an angel, but it hates the whole human race.\nReduce damage taken from DemiHuman monster by 10%.\nUnrefineable","{ bonus2 bSubRace,RC_DemiHuman,10; bonus2 bSubRace,RC_Player_Human,10; },{},{}",Headgears 1
5153,Angeling Hairpin,Upper Headgear,70,3,None,0,All,"A hairpin inspire from Angeling.\nYou body will feel lighter when you put it on.\nFlee +5\n[+ Angel's Dress]\nLuk +6, Int +2, LUK + 6, Flee +5","{ bonus bFlee,5; },{},{}",Headgears 1
2284,Antlers,Upper Headgear,50,4,None,0,All except Novice,"A set of deer antlers that humans, finally, can proudly wear.","{},{},{}",Headgears 1
5270,Autumn Leaves,Upper Headgear,10,2,None,1,All,A headgear made from leaves fallen from an enchanted tree.\nPerfect Dodge +5,"{ bonus bFlee2,5; },{},{}",Headgears 1
5174,Ayam,Upper Headgear,40,3,60,1,All,"A red, silken hat that is supposed to be worn by women, but men can wear it too.\n[TaeKwon Class]\nInt +1, Increases SP Regen by 3%","{ if(BaseClass==Job_Taekwon){ bonus bInt,1; bonus bSPrecovRate,3; } },{},{}",Headgears 1
5277,Yellow Bandana,Upper Headgear,10,1,20,0,All except Novice,"A piece of yellow cloth that has droplets of blood, rumored to be from the shirts of the protesters who were at the Bloodless Revolution.\nVit +2, Luk +2\nReduces damage from long range physical attack by 10%.","{ bonus bLuk,2; bonus bVit,2; bonus bLongAtkDef,10; },{},{}",Headgears 1
2237,Bandit Beard,Lower Headgear,10,0,None,0,All,"Legendary beard.\nwhen attached it,you look cool than before.\nIf you want to seem like a grown-up person,attach it right now.","{},{},{}",Headgears 1
